Substation,Longitude,Latitude,Operator
"{""geometry"": {""coordinates"": [[9.675389, 45.357329], [9.675197, 45.358162], [9.674165, 45.358], [9.6742, 45.357899], [9.674167, 45.357877], [9.674216, 45.357721], [9.675353, 45.357313], [9.675389, 45.357329]], ""type"": ""LineString""}, ""id"": 23854899, ""properties"": {""name"": ""Crema"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILCRMM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.675389, 45.357329]","[9.675197, 45.358162]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.937474, 45.464395], [10.938237, 45.464508], [10.938162, 45.464759], [10.937399, 45.464646], [10.937474, 45.464395]], ""type"": ""LineString""}, ""id"": 23957585, ""properties"": {""name"": ""Chievo CP"", ""operator"": ""AGSM Verona"", ""power"": ""substation"", ""ref:terna"": ""VVENCHDV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.937474, 45.464395]","[10.938237, 45.464508]",AGSM Verona
"{""geometry"": {""coordinates"": [[11.102233, 43.890036], [11.101401, 43.890299], [11.101744, 43.890899], [11.101804, 43.890942], [11.101898, 43.890961], [11.101996, 43.890951], [11.102396, 43.890831], [11.10243, 43.89075], [11.102482, 43.890707], [11.102533, 43.890651], [11.102551, 43.890534], [11.102233, 43.890036]], ""type"": ""LineString""}, ""id"": 25796707, ""properties"": {""name"": ""San Martino CP"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRSMTF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.102233, 43.890036]","[11.101401, 43.890299]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.854922, 44.437487], [8.854744, 44.437015], [8.854476, 44.436455], [8.854642, 44.436411], [8.85489, 44.436389], [8.855053, 44.43645], [8.855259, 44.436432], [8.855559, 44.436481], [8.85574, 44.436567], [8.855825, 44.436665], [8.855825, 44.436818], [8.855611, 44.437112], [8.855396, 44.437302], [8.855159, 44.437473], [8.854922, 44.437487]], ""type"": ""LineString""}, ""id"": 27824432, ""properties"": {""name"": ""San Giovanni Genova"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""TTORSGVT"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.854922, 44.437487]","[8.854744, 44.437015]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.537455, 41.501084], [15.542309, 41.50198], [15.5427, 41.500848], [15.541351, 41.500576], [15.54124, 41.500424], [15.541199, 41.500415], [15.541547, 41.499415], [15.538032, 41.49873], [15.537963, 41.498791], [15.537955, 41.49884], [15.537959, 41.498881], [15.537975, 41.498923], [15.537998, 41.498934], [15.537943, 41.498985], [15.53789, 41.498962], [15.537825, 41.498958], [15.537769, 41.498971], [15.537514, 41.499195], [15.537287, 41.499448], [15.537164, 41.499739], [15.537181, 41.500044], [15.537257, 41.500352], [15.537324, 41.500593], [15.53752, 41.500635], [15.537483, 41.500755], [15.537371, 41.500771], [15.537455, 41.501084]], ""type"": ""LineString""}, ""id"": 30645298, ""properties"": {""name"": ""Foggia TR"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPFOGNT1;NNAPFOGNT2"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.537455, 41.501084]","[15.542309, 41.50198]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.100996, 45.976108], [10.101084, 45.975953], [10.101275, 45.976005], [10.101196, 45.976145], [10.101267, 45.976164], [10.101234, 45.976223], [10.100886, 45.976127], [10.10091, 45.976084], [10.100996, 45.976108]], ""type"": ""LineString""}, ""id"": 30985363, ""properties"": {""building"": ""service"", ""name"": ""Dezzo di Scalve"", ""operator"": ""Italgen"", ""power"": ""substation"", ""ref:terna"": ""MMILDZZM"", ""substation"": ""distribution"", ""voltage"": ""70000""}, ""type"": ""Feature""}","[10.100996, 45.976108]","[10.101084, 45.975953]",Italgen
"{""geometry"": {""coordinates"": [[9.638192, 45.678251], [9.637786, 45.677766], [9.637798, 45.677712], [9.638127, 45.677581], [9.638413, 45.677913], [9.638385, 45.677957], [9.638235, 45.678021], [9.638367, 45.67818], [9.638192, 45.678251]], ""type"": ""LineString""}, ""id"": 31193146, ""properties"": {""name"": ""Bergamo CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILBGAM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.638192, 45.678251]","[9.637786, 45.677766]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.529126, 41.924712], [12.529949, 41.924422], [12.530189, 41.924672], [12.530166, 41.925004], [12.529691, 41.925258], [12.529115, 41.924785], [12.529126, 41.924712]], ""type"": ""LineString""}, ""id"": 31860390, ""properties"": {""name"": ""Acea Lanciani"", ""operator"": ""Acea Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMLACR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.529126, 41.924712]","[12.529949, 41.924422]",Acea Distribuzione
"{""geometry"": {""coordinates"": [[9.618876, 45.684275], [9.619432, 45.684541], [9.619672, 45.684296], [9.619116, 45.68403], [9.618876, 45.684275]], ""type"": ""LineString""}, ""id"": 32243299, ""properties"": {""name"": ""Curno"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILRNOM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.618876, 45.684275]","[9.619432, 45.684541]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.320286, 46.47879], [11.319902, 46.478432], [11.31974, 46.47837], [11.319275, 46.47788], [11.319249, 46.477796], [11.320418, 46.477115], [11.321793, 46.47636], [11.321892, 46.476423], [11.322318, 46.476772], [11.322021, 46.476946], [11.322683, 46.477497], [11.322213, 46.477769], [11.321069, 46.478235], [11.320973, 46.478419], [11.320286, 46.47879]], ""type"": ""LineString""}, ""id"": 35680992, ""properties"": {""name"": ""Ricevitrice Resia/Ponte Resia - Umspannwerk Reschenbrücke"", ""name:de"": ""Umspannwerk Reschenbrücke"", ""name:it"": ""Ricevitrice Resia"", ""operator"": ""AE-EW Alperia"", ""power"": ""substation"", ""ref:terna"": ""VVENPTRVT1T;VVENPTRVT2T;VVENPTRVT3;VVENPTRVT4T"", ""substation"": ""distribution"", ""voltage"": ""220000""}, ""type"": ""Feature""}","[11.320286, 46.47879]","[11.319902, 46.478432]",AE-EW Alperia
